"Report File:","C:\neuralmapper\PCB\NM-WX400\Rev2\NM-WX400 (BOM).csv"
"Report Written:","Thursday, July 21, 2016"
"Project Path:","C:\neuralmapper\PCB\NM-WX400\Rev2\NM-WX400.prj"
"Design Path:","C:\neuralmapper\PCB\NM-WX400\Rev2\NM-WX400.pcb"
"Design Title:",""
"Created:","8/22/2014 4:40:03 PM"
"Last Saved:","7/20/2016 3:59:26 PM"
"Editing Time:","48772 min"
"Units:","mil (precision 0)"


"Ref Name","Qty","Component","Value","Side","Manufacturer","Manufacturer part number","Distributor","Distributor part number","Description","Price"
"IN83","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
"IN84","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
"IN85","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
"IN86","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
"IN87","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
"IN88","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
"IN89","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
"IN90","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
"IN91","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
"IN92","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
"IN93","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
"IN94","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
"IN23","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
"OUT2","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
"OUT5","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
"OUT6","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
"IN12","1","Pin_header_16mil","","Top","Mill-Max","850-10-050-10-001000","Digikey","ED8250-ND","50 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold","0.13"
"R32","1","R0201_3k_1/20","3k","Bottom","Panasonic","ERJ-1GEF3001C","Digikey","P3.00KABCT-ND","RES SMD 3K OHM 1% 1/20W 0201","0.10"
"R29","1","R0201_147k_1/20","147k","Bottom","Panasonic","ERJ-1GEF1473C","Digikey","P147KABCT-ND","RES SMD 147K OHM 1% 1/20W 0201","0.10"
"R31","1","R0201_215k_1/20","215k","Bottom","Panasonic","ERJ-1GEF2153C","Digikey","P215KABCT-ND","RES SMD 215K OHM 1% 1/20W 0201","0.10"
"R30","1","R0201_365k_1/20","365k","Bottom","Panasonic","ERJ-1GEF3653C","Digikey","P365KABCT-ND","RES SMD 365K OHM 1% 1/20W 0201","0.10"
"R14","1","R0603_5.6_1/4","5.6","Top","Panasonic","ERJ-PA3J5R6V","Digikey","P5.6BZCT-ND","RES SMD 5.6 OHM 5% 1/4W 0603","0.11"
"R3","1","R01005_0_1/32W","0","Top","Samsung","RC0402J000CS","Digikey","1276-3538-1-ND","RES SMD 0.0 OHM JUMP 1/32W 01005","0.38"
"R4","1","R01005_0_1/32W","0","Bottom","Samsung","RC0402J000CS","Digikey","1276-3538-1-ND","RES SMD 0.0 OHM JUMP 1/32W 01005","0.38"
"R33","1","R01005_1k_1/32W","1k","Bottom","Samsung","RC0402J102CS","Digikey","1276-3556-1-ND","RES SMD 1K OHM 5% 1/32W 01005","0.31"
"R5","1","R01005_1k_1/32W","1k","Top","Samsung","RC0402J102CS","Digikey","1276-3556-1-ND","RES SMD 1K OHM 5% 1/32W 01005","0.31"
"R1","1","R01005_1k_1/32W","1k","Top","Samsung","RC0402J102CS","Digikey","1276-3556-1-ND","RES SMD 1K OHM 5% 1/32W 01005","0.31"
"R2","1","R01005_1k_1/32W","1k","Top","Samsung","RC0402J102CS","Digikey","1276-3556-1-ND","RES SMD 1K OHM 5% 1/32W 01005","0.31"
"R11","1","R01005_1M_1/32W","1M","Bottom","Panasonic","ERJ-XGNJ105Y","Digikey","P1.0MAWCT-ND","RES SMD 1M OHM 5% 1/32W 01005","0.38"
"R7","1","R01005_1.5k_1/32W","1.5k","Bottom","Samsung","RC0402J152CS","Digikey","1276-3557-1-ND","RES SMD 1.5K OHM 5% 1/32W 01005","0.38"
"R8","1","R01005_5k_1/32W","5k","Top","Samsung","RC0402F472CS","Digikey","1276-3529-1-ND","RES SMD 4.7K OHM 1% 1/32W 01005","0.18"
"R13","1","R01005_8.2k_1/32W","8.2k","Bottom","Panasonic","ERJ-XGNJ822Y","Digikey","P8.2KAWCT-ND","RES SMD 8.2K OHM 5% 1/32W 01005","0.38"
"R43","1","R01005_10k_1/32W","10k","Bottom","Panasonic","ERJ-XGNJ103Y","Digikey","P10KAWCT-ND","RES SMD 10K OHM 5% 1/32W 01005","0.38"
"R10","1","R01005_10k_1/32W","10k","Top","Panasonic","ERJ-XGNJ103Y","Digikey","P10KAWCT-ND","RES SMD 10K OHM 5% 1/32W 01005","0.38"
"R12","1","R01005_33k_1/32W","33k","Bottom","Panasonic","ERJ-XGNJ333Y","Digikey","P33KAWCT-ND","RES SMD 33K OHM 5% 1/32W 01005","0.38"
"R6","1","R01005_220_1/32W","220","Top","Panasonic","ERJ-XGNJ221Y","Digikey","P220AWCT-ND","RES SMD 220 OHM 5% 1/32W 01005","0.38"
"IN9","1","ROUND_PAD","","Top","","","","","Round pad","0.00"
"IN10","1","ROUND_PAD","","Top","","","","","Round pad","0.00"
"JP2","1","ROUND_PAD","","Top","","","","","Round pad","0.00"
"JP3","1","ROUND_PAD","","Top","","","","","Round pad","0.00"
"IN14","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN15","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN16","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN17","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN18","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"JP4","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"JP5","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"U1","1","SDCARD","","Top","Molex","1050270001","Digikey","WM6825CT-ND","CONN MICRO SD CARD PUSH-PULL R/A","1.43"
"","95","","","","","","","","","94.58"
